,Parcel ID,Address,sale_date,year,month,year-month,sale_price,yr_built,square_feet,price_sf,lat,long,GEOID,Sub_geo,geometry
6822,010D010175,2628 SW ABBOTT RD,4/9/21,2021,4,2021-4,282004,2020,1954,144.321392,33.6888341,-84.0716933,13247060201,North Rockdale,POINT (-84.0716933 33.6888341)
6833,190040006,2550 NW AMALFI DR,4/9/21,2021,4,2021-4,237000,1969,2725,86.97247706,33.7158759,-84.0505966,13247060201,North Rockdale,POINT (-84.0505966 33.7158759)
6845,038A010017,2644 NW PACES LANDING DR,4/8/21,2021,4,2021-4,223000,1981,1640,135.9756098,33.714063,-84.0496423,13247060201,North Rockdale,POINT (-84.0496423 33.714063)
6890,190080007,2581 NW LAKE CAPRI RD,3/31/21,2021,3,2021-3,281000,1969,2673,105.1253273,33.7122859,-84.0591322,13247060201,North Rockdale,POINT (-84.0591322 33.7122859)
6905,010D010183,2612 SW ABBOTT RD,3/29/21,2021,3,2021-3,281700,2020,1954,144.1658137,33.6892896,-84.0713183,13247060201,North Rockdale,POINT (-84.0713183 33.6892896)
6922,010D010155,2216 SW BEDELL DR,3/26/21,2021,3,2021-3,249254,2020,1792,139.0926339,33.6901317,-84.0729082,13247060201,North Rockdale,POINT (-84.0729082 33.6901317)
6931,210010099,1841 NW KINGS ROW,3/25/21,2021,3,2021-3,479900,2020,4289,111.8908837,33.6954426,-84.0532081,13247060201,North Rockdale,POINT (-84.0532081 33.6954426)
6935,190010023,2511 NW AMALFI DR,3/23/21,2021,3,2021-3,175000,1972,1996,87.6753507,33.712786,-84.0524153,13247060201,North Rockdale,POINT (-84.0524153 33.712786)
6942,020001013A,2260 NW LAKE ROCKAWAY RD,3/22/21,2021,3,2021-3,180000,1968,1703,105.6958309,33.7039359,-84.0538067,13247060201,North Rockdale,POINT (-84.0538067 33.7039359)
6998,010D010156,2214 SW BEDELL DR,3/9/21,2021,3,2021-3,241485,2020,1792,134.7572545,33.6900831,-84.0729695,13247060201,North Rockdale,POINT (-84.0729695 33.6900831)
7006,010D010180,2618 SW ABBOTT RD,3/8/21,2021,3,2021-3,286356,2020,1932,148.2173913,33.689183,-84.071468,13247060201,North Rockdale,POINT (-84.071468 33.689183)
7016,010D010181,2616 SW ABBOTT RD,3/4/21,2021,3,2021-3,281458,2020,1954,144.0419652,33.6892319,-84.071423,13247060201,North Rockdale,POINT (-84.071423 33.6892319)
7022,010D010157,2212 SW BEDELL DR,3/3/21,2021,3,2021-3,236333,2020,1792,131.8822545,33.6900279,-84.0730203,13247060201,North Rockdale,POINT (-84.0730203 33.6900279)
7040,010D010104,2219 SW BEDELL DR,2/26/21,2021,2,2021-2,234900,2020,1792,131.0825893,33.6904502,-84.0731971,13247060201,North Rockdale,POINT (-84.0731971 33.6904502)
7041,010D010158,2210 SW BEDELL DR,2/26/21,2021,2,2021-2,241853,2020,1792,134.9626116,33.6899727,-84.073071,13247060201,North Rockdale,POINT (-84.073071 33.6899727)
7053,038A010005,2532 NW PACES LANDING DR,2/26/21,2021,2,2021-2,233000,1972,2566,90.80280592,33.7111127,-84.0514741,13247060201,North Rockdale,POINT (-84.0514741 33.7111127)
7068,010D010154,2218 SW BEDELL DR,2/24/21,2021,2,2021-2,238404,2020,1792,133.0379464,33.6901846,-84.0728772,13247060201,North Rockdale,POINT (-84.0728772 33.6901846)
7074,010D010094,2101 SW WATTS LN,2/23/21,2021,2,2021-2,253284,2020,1824,138.8618421,33.6904144,-84.0740079,13247060201,North Rockdale,POINT (-84.0740079 33.6904144)
7081,010D010177,2624 SW ABBOTT RD,2/22/21,2021,2,2021-2,279720,2020,1954,143.1525077,33.688984,-84.071641,13247060201,North Rockdale,POINT (-84.071641 33.688984)
7100,010D010103,2217 SW BEDELL DR,2/16/21,2021,2,2021-2,237249,2020,1792,132.3934152,33.6903859,-84.0732177,13247060201,North Rockdale,POINT (-84.0732177 33.6903859)
7114,010D010102,2215 SW BEDELL DR,2/12/21,2021,2,2021-2,229244,2020,1792,127.9263393,33.690357,-84.073301,13247060201,North Rockdale,POINT (-84.073301 33.690357)
7121,010D010099,2209 SW BEDELL DR,2/10/21,2021,2,2021-2,235634,2020,1824,129.185307,33.6901912,-84.0734409,13247060201,North Rockdale,POINT (-84.0734409 33.6901912)
7123,010D010101,2213 SW BEDELL DR,2/10/21,2021,2,2021-2,245075,2020,1792,136.7606027,33.6902914,-84.07329,13247060201,North Rockdale,POINT (-84.07329 33.6902914)
7125,180040010,2085 NW LAKE SORRENTO DR,2/9/21,2021,2,2021-2,210000,1971,2262,92.83819629,33.7192671,-84.0559122,13247060201,North Rockdale,POINT (-84.0559122 33.7192671)
7131,010D010095,2103 SW WATTS LN,2/8/21,2021,2,2021-2,246333,2020,1792,137.4626116,33.6904144,-84.0740079,13247060201,North Rockdale,POINT (-84.0740079 33.6904144)
7176,010D010109,2229 SW BEDELL DR,1/28/21,2021,1,2021-1,235330,2020,1792,131.3225446,33.690741,-84.0729082,13247060201,North Rockdale,POINT (-84.0729082 33.690741)
7205,010D010106,2223 SW BEDELL DR,1/22/21,2021,1,2021-1,233767,2020,1792,130.4503348,33.6905946,-84.073032,13247060201,North Rockdale,POINT (-84.073032 33.6905946)
7217,010D010040,2703 SW KEMP CT,1/20/21,2021,1,2021-1,240571,2018,1792,134.2472098,33.6897082,-84.0745178,13247060201,North Rockdale,POINT (-84.0745178 33.6897082)
7226,010D010178,2622 SW ABBOTT RD,1/15/21,2021,1,2021-1,286739,2020,1954,146.7446264,33.689049,-84.07159,13247060201,North Rockdale,POINT (-84.07159 33.689049)
