,Parcel ID,Address,sale_date,sale_price,yr_built,square_feet,full_address,unique_ID,price_sf,sale_year,year,month,year-month,url,lat,long
3252,300010024,1911 SW BIRCH CT,9/28/18,154500,1975,3697,1911%20Sw%20Birch%20Ct%20Rockdale%20County%20GA,0300010024-9/28/2018-154500.0,41.79064106,2018,2018,9,2018-9,https://www.google.com/maps/search/1911%20Sw%20Birch%20Ct%20Rockdale%20County%20GA,33.6006195,-84.0503387
3253,750010183,1003 SE SILVER SUMMIT DR,9/28/18,248600,2018,1915,1003%20Se%20Silver%20Summit%20Dr%20Rockdale%20County%20GA,0750010183-9/28/2018-248600.0,129.8172324,2018,2018,9,2018-9,https://www.google.com/maps/search/1003%20Se%20Silver%20Summit%20Dr%20Rockdale%20County%20GA,33.6415422,-84.0174597
3254,076A010047,1460 SE GEORGE DR,9/28/18,144300,1972,2226,1460%20Se%20George%20Dr%20Rockdale%20County%20GA,076A010047-9/28/2018-144300.0,64.82479784,2018,2018,9,2018-9,https://www.google.com/maps/search/1460%20Se%20George%20Dr%20Rockdale%20County%20GA,33.63411,-83.9983566
3255,027A010348,1727 SW CARISSA DR,9/28/18,383900,2006,2648,1727%20Sw%20Carissa%20Dr%20Rockdale%20County%20GA,027A010348-9/28/2018-383900.0,144.9773414,2018,2018,9,2018-9,https://www.google.com/maps/search/1727%20Sw%20Carissa%20Dr%20Rockdale%20County%20GA,33.6453272,-84.0562012
3256,030A010005,1941 SW EAGLE RIDGE DR,9/28/18,249000,1996,2189,1941%20Sw%20Eagle%20Ridge%20Dr%20Rockdale%20County%20GA,030A010005-9/28/2018-249000.0,113.750571,2018,2018,9,2018-9,https://www.google.com/maps/search/1941%20Sw%20Eagle%20Ridge%20Dr%20Rockdale%20County%20GA,33.6069638,-84.0491001
3257,079D010404,1029 SE LYNDHURST WAY,9/28/18,405000,1998,3692,1029%20Se%20Lyndhurst%20Way%20Rockdale%20County%20GA,079D010404-9/28/2018-405000.0,109.6966414,2018,2018,9,2018-9,https://www.google.com/maps/search/1029%20Se%20Lyndhurst%20Way%20Rockdale%20County%20GA,33.5933457,-83.9858759
3258,091A010102,3370 NE BARTLETT AVE,9/28/18,284500,2007,3779,3370%20Ne%20Bartlett%20Ave%20Rockdale%20County%20GA,091A010102-9/28/2018-284500.0,75.28446679,2018,2018,9,2018-9,https://www.google.com/maps/search/3370%20Ne%20Bartlett%20Ave%20Rockdale%20County%20GA,33.6469352,-83.9465368
3259,058001004M,5140 NW WHISPERING PINES LN,9/28/18,575000,1974,3667,5140%20Nw%20Whispering%20Pines%20Ln%20Rockdale%20County%20GA,058001004M-9/28/2018-575000.0,156.8039269,2018,2018,9,2018-9,https://www.google.com/maps/search/5140%20Nw%20Whispering%20Pines%20Ln%20Rockdale%20County%20GA,33.779093,-83.989127
3260,077C010198,1688 SE BRENTWOOD CROSSING,9/28/18,235000,1995,2929,1688%20Se%20Brentwood%20Crossing%20Rockdale%20County%20GA,077C010198-9/28/2018-235000.0,80.23216115,2018,2018,9,2018-9,https://www.google.com/maps/search/1688%20Se%20Brentwood%20Crossing%20Rockdale%20County%20GA,33.6207528,-83.9869505
3261,049A010003,935 SE SUGAR CREEK DR,9/28/18,235000,1972,2035,935%20Se%20Sugar%20Creek%20Dr%20Rockdale%20County%20GA,049A010003-9/28/2018-235000.0,115.4791155,2018,2018,9,2018-9,https://www.google.com/maps/search/935%20Se%20Sugar%20Creek%20Dr%20Rockdale%20County%20GA,33.5883099,-84.0154824
3262,027A010297,1525 SW BORDEAUX LN,9/28/18,399900,2006,4371,1525%20Sw%20Bordeaux%20Ln%20Rockdale%20County%20GA,027A010297-9/28/2018-399900.0,91.4893617,2018,2018,9,2018-9,https://www.google.com/maps/search/1525%20Sw%20Bordeaux%20Ln%20Rockdale%20County%20GA,33.6483395,-84.0536416
3263,031B010128,2871 SW HAVENWOOD DR,9/28/18,389000,2018,2990,2871%20Sw%20Havenwood%20Dr%20Rockdale%20County%20GA,031B010128-9/28/2018-389000.0,130.1003344,2018,2018,9,2018-9,https://www.google.com/maps/search/2871%20Sw%20Havenwood%20Dr%20Rockdale%20County%20GA,33.57851,-84.0583879
3264,046B010534,2534 SE LENNOX RD,9/28/18,225000,2003,2744,2534%20Se%20Lennox%20Rd%20Rockdale%20County%20GA,046B010534-9/28/2018-225000.0,81.99708455,2018,2018,9,2018-9,https://www.google.com/maps/search/2534%20Se%20Lennox%20Rd%20Rockdale%20County%20GA,33.6212691,-84.0232483
